industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of internal combustion engines (gas and diesel),15306,2016,A,3,470,470,668974.00,653546.00,139215.00,514332.00,664655.00,335552.00,262536.00,0.00,-24339.00,0.00,0.00
Manufacture of electricity distribution equipment,15285,2016,B,4,49,49,38960.00,39274.00,4919.00,34355.00,38799.00,30653.00,5625.00,0.00,181.00,0.00,0.00
Manufacture of organic acids and organic compounds,15164,2016,A,3,128,128,1217336.00,1017132.00,56917.00,960215.00,1146125.00,853500.00,286021.00,12348.00,-27884.00,0.00,0.00
Manufacture of glues and adhesives,15183,2016,A,14,1185,1185,9655185.00,8040948.00,703045.00,7337903.00,9624630.00,5667140.00,2719727.00,247533.00,188695.00,0.00,0.00
Manufacture of machinery for food processing,15340,2016,A,12,893,888,824476.00,692321.00,185043.00,507278.00,770281.00,400854.00,340139.00,21869.00,75129.00,1850.00,0.00
Production processing and preserving of meat and meat products,152,2016,A,82,17744,17717,82946228.00,76357580.00,4396022.00,71961558.00,83012391.00,61066283.00,13011167.00,1508166.00,-1150797.00,0.00,0.00
"Manufacture of slippers and sandals, other than rubber",15118,2016,A,10,670,657,354974.00,292155.00,71225.00,220930.00,364696.00,215859.00,138417.00,4285.00,25602.00,0.00,0.00
Operation of blast furnaces and steel making furnaces,15225,2016,A,49,4708,4708,46213369.00,40486689.00,1388388.00,39098301.00,45412820.00,36548254.00,7578134.00,442582.00,1212450.00,0.00,0.00
Casting/foundry of steel,15237,2016,B,6,68,68,43118.00,31718.00,7230.00,24488.00,43368.00,19682.00,21510.00,0.00,764.00,0.00,0.00
Pulp milling,15140,2016,A,6,666,666,3979145.00,3981406.00,186170.00,3795236.00,3972199.00,3288046.00,431222.00,122874.00,73008.00,0.00,0.00
Manufacture of leather shoes,15112,2016,B,43,720,620,195573.00,187772.00,41894.00,145877.00,208277.00,144278.00,52816.00,0.00,38914.00,0.00,0.00
"Manufacture of perfumes, cosmetics and other toilet preparations",15179,2016,A,49,5346,5344,17155761.00,15754888.00,1843051.00,13911836.00,17362290.00,10005408.00,4518124.00,203449.00,655849.00,0.00,0.00
Manufacture of coarse clay products,15212,2016,B,27,265,262,81965.00,28983.00,13678.00,15304.00,81658.00,9262.00,71028.00,0.00,966.00,0.00,0.00
Manufacture of motor vehicles,15350,2016,A,30,6345,6333,259621422.00,233644616.00,5008762.00,228635854.00,258521177.00,215455477.00,35117586.00,2694091.00,11448567.00,0.00,0.00
Manufacture of textile industrial bags,1584,2016,A,12,9533,9533,7576823.00,6284892.00,1440537.00,4844355.00,7764494.00,4691105.00,2899990.00,5032.00,110196.00,0.00,0.00
"Forging, pressing, stamping and roll-forming of metal products",15249,2016,B,48,499,427,123527.00,111751.00,38650.00,73101.00,121740.00,46408.00,59806.00,397.00,6409.00,0.00,0.00
Processing of seaweeds; manufacture of agar-agar or carageenan,157,2016,A,17,1429,1424,8445490.00,7623696.00,484547.00,7139149.00,8496857.00,6252001.00,1657322.00,106153.00,44830.00,1443.00,0.00
"Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",15314,2016,A,9,495,495,686230.00,643333.00,84334.00,559000.00,656467.00,460333.00,156328.00,1445.00,15885.00,178.00,0.00
Manufacture of bottled water,1571,2016,A,26,1881,1877,2957111.00,2080092.00,430415.00,1649677.00,2930078.00,1122687.00,1515623.00,71562.00,44109.00,0.00,0.00
"Manufacture of chocolate and sugar confectionery products, n.e.c.",1551,2016,B,3,38,36,16410.00,14716.00,4650.00,10066.00,19053.00,11699.00,6999.00,1720.00,2798.00,0.00,0.00
Manufacture of plastic materials except man-made fiber and glass fiber,15168,2016,A,5,445,445,502156.00,492919.00,78271.00,414648.00,469340.00,313585.00,114381.00,3906.00,-9475.00,0.00,0.00
Manufacture of industrial (compressed and liquefied) gases,15159,2016,B,41,427,427,3451590.00,2801777.00,159888.00,2641888.00,3175050.00,1905811.00,1024527.00,10342.00,54305.00,0.00,0.00
Manufacture of flat glass (including float glass),15204,2016,B,3,17,17,55634.00,59445.00,6645.00,52800.00,53829.00,32122.00,9158.00,384.00,-997.00,0.00,0.00
"Manufacture of other rubber products, n.e.c.",15194,2016,A,17,983,983,2335046.00,1606333.00,264475.00,1341858.00,2392713.00,1175457.00,1070067.00,12410.00,85728.00,600.00,0.00
Manufacture of parts and accessories of motorcycles,15363,2016,B,3,22,22,31687.00,28949.00,3091.00,25858.00,28667.00,18367.00,6367.00,0.00,-1743.00,0.00,0.00
Manufacture of pesticides and other agro-chemical products,15169,2016,B,6,49,45,115624.00,107050.00,9333.00,97716.00,110061.00,91328.00,21017.00,0.00,-1788.00,0.00,0.00
Manufacture of communication equipment,15268,2016,A,12,3810,3809,6062779.00,5674246.00,809472.00,4864774.00,5657603.00,3804817.00,1564189.00,199556.00,-18736.00,0.00,0.00
"Manufacture of rattan furniture (reed, wicker, and cane)",15368,2016,B,36,332,288,35776.00,33626.00,9797.00,23829.00,35740.00,20731.00,13724.00,0.00,-1256.00,0.00,0.00
"Manufacture of sawali, nipa and split canes",15134,2016,B,6,55,48,8172.00,7135.00,1884.00,5251.00,8202.00,4296.00,3604.00,0.00,257.00,0.00,0.00
Rice/corn milling,1532,2016,A,87,3772,3605,17977615.00,16917734.00,433476.00,16484258.00,17102585.00,15070724.00,1916561.00,639214.00,-395477.00,0.00,0.00
Manufacture of plastic synthetic resins,15167,2016,A,12,756,756,7803148.00,7070587.00,373789.00,6696798.00,6745640.00,4704754.00,1360939.00,89682.00,-175200.00,0.00,0.00
Manufacture of other articles of paper,15147,2016,A,41,3508,3506,12325995.00,11464899.00,1019046.00,10445853.00,12395154.00,9696084.00,2370562.00,959844.00,502183.00,0.00,0.00
"Manufacture of ice, except dry ice",1557,2016,B,262,3311,3186,4367475.00,3629753.00,499767.00,3129986.00,3832910.00,2490665.00,1671819.00,232525.00,0.00,0.00,0.00
"Manufacture of fiber batting, padding and upholstery filling including coir",1597,2016,A,10,444,444,378933.00,358499.00,58050.00,300449.00,496027.00,346979.00,102137.00,40038.00,80921.00,0.00,0.00
Manufacture of farm tractors,15330,2016,A,5,217,216,1916872.00,1798145.00,72692.00,1725453.00,1925449.00,1628330.00,231140.00,42818.00,6927.00,0.00,0.00
Manufacture of photographic equipment and accessories,15280,2016,A,12,3762,3762,9083774.00,7837830.00,1167422.00,6670407.00,8836812.00,5629743.00,2893604.00,16208.00,159684.00,0.00,0.00
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",1521,2016,A,8,626,626,7942653.00,6988734.00,108119.00,6880614.00,7645314.00,6523284.00,1047661.00,5772.00,-13053.00,0.00,0.00
Manufacture of glass fibers (including glass wool) and yarn of glass fibers,15206,2016,B,12,204,204,218727.00,212075.00,31473.00,180602.00,226941.00,177595.00,39711.00,4779.00,24789.00,0.00,0.00
Treatment and coating of metals; machining,15251,2016,B,34,335,319,154934.00,141950.00,36914.00,105036.00,102716.00,29958.00,62976.00,6638.00,-189.00,0.00,0.00
"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",15310,2016,A,4,407,407,3253304.00,2991795.00,187806.00,2803989.00,3153617.00,2484066.00,488260.00,46154.00,27588.00,0.00,0.00
Coffee roasting and processing,1555,2016,A,7,2370,2370,1165802.00,1057015.00,194039.00,862976.00,1095403.00,697645.00,384211.00,10282.00,27250.00,0.00,0.00
Manufacture of lime,15216,2016,B,4,64,64,306709.00,295460.00,5030.00,290430.00,306709.00,273850.00,22096.00,0.00,-8960.00,0.00,0.00
Manufacture of starches and starch products,1539,2016,A,5,1243,1243,7221809.00,7071244.00,267160.00,6804084.00,7900786.00,6174206.00,869140.00,788251.00,1610502.00,0.00,0.00
Manufacture of glues and adhesives,15183,2016,B,8,95,95,1278248.00,920253.00,51755.00,868498.00,1265621.00,673201.00,496739.00,3281.00,-9203.00,0.00,0.00
"Manufacture of food products, n.e.c.",1563,2016,A,50,3782,3778,20611691.00,19032402.00,1888347.00,17144055.00,20489231.00,14686480.00,4044808.00,83753.00,508443.00,0.00,0.00
Manufacture of optical instruments and lenses,15279,2016,B,5,15,15,27796.00,24727.00,3103.00,21624.00,27796.00,17565.00,6806.00,0.00,-371.00,0.00,0.00
Manufacture of charcoal outside the forest,15131,2016,A,4,277,277,522760.00,460765.00,32326.00,428439.00,527675.00,350994.00,145702.00,15139.00,38901.00,0.00,54182.00
Paper and paperboard milling,15141,2016,A,25,3431,3431,19222616.00,17224542.00,1019952.00,16204590.00,19042166.00,14343107.00,3844804.00,316210.00,206058.00,0.00,0.00
Manufacture of blacksmithing tools and welding shop operation,15255,2016,B,277,1519,1250,1790902.00,1743912.00,183699.00,1560213.00,1787220.00,1485446.00,241407.00,0.00,-13585.00,0.00,0.00
Manufacture of plastic materials except man-made fiber and glass fiber,15168,2016,B,21,229,229,362201.00,334883.00,11283.00,323599.00,374133.00,325518.00,34341.00,0.00,15840.00,0.00,0.00
Manufacture of made-up textile goods for house furnishings,1585,2016,A,21,2755,2752,3959724.00,3709864.00,542287.00,3167577.00,3729608.00,2588097.00,940118.00,6135.00,-56555.00,0.00,0.00
"Manufacture of domestic cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",15298,2016,A,4,264,264,2062771.00,1872236.00,202755.00,1669480.00,1979687.00,1340377.00,473554.00,10643.00,-12078.00,0.00,0.00
"Manufacture of miscellaneous textiles, n.e.c.",1598,2016,A,6,269,269,185251.00,183762.00,51507.00,132256.00,196805.00,122902.00,60852.00,4636.00,1273.00,0.00,0.00
"Manufacture of other furniture and fixtures, n.e.c.",15373,2016,B,20,226,226,168145.00,152935.00,36593.00,116342.00,163951.00,95498.00,56434.00,7603.00,-7924.00,0.00,0.00
Manufacture of organic acids and organic compounds,15164,2016,B,4,31,31,90870.00,71573.00,6580.00,64994.00,68838.00,24850.00,38071.00,0.00,410.00,0.00,0.00
Cassava flour milling,1533,2016,B,3,24,20,8485.00,7626.00,993.00,6633.00,8323.00,6062.00,2042.00,80.00,-316.00,0.00,0.00
Manufacture of bodies (coachwork) for motor vehicles,15351,2016,B,27,195,191,282580.00,131615.00,55036.00,76580.00,280369.00,42258.00,226829.00,0.00,-4143.00,0.00,0.00
"Manufacture of paint products, n.e.c.",15175,2016,A,4,319,319,1173161.00,1084294.00,96287.00,988007.00,1089187.00,856665.00,210499.00,5495.00,-15690.00,0.00,0.00
Manufacture of wood carvings,15130,2016,A,21,1848,1836,924441.00,840111.00,197282.00,642829.00,936235.00,530528.00,323758.00,14650.00,12169.00,58.00,0.00
"Manufacture of calculating machines, adding machines, cash registers, calculators",15317,2016,A,4,9931,9931,21893153.00,21362506.00,1421443.00,19941062.00,21384730.00,17421768.00,3192159.00,67228.00,-235133.00,2724.00,0.00
Manufacture of paints,15170,2016,B,27,249,249,966404.00,752172.00,31004.00,721168.00,960246.00,679572.00,255925.00,240.00,-340.00,0.00,0.00
Manufacture of sporting balls,15382,2016,A,7,1235,1235,2365982.00,2155764.00,350074.00,1805690.00,2328645.00,1569644.00,654548.00,20171.00,-52583.00,0.00,0.00
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted or crocheted directly into shape",16106,2016,B,4,45,43,16605.00,16210.00,4916.00,11292.00,17044.00,8078.00,7289.00,0.00,1400.00,0.00,0.00
"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc.)",16190,2016,A,251,21340,21299,55386370.00,52048531.00,4609783.00,47438748.00,54308118.00,41568550.00,10289000.00,1176412.00,267811.00,0.00,0.00
Manufacture of motorcycle engines and parts thereof,15360,2016,A,7,1396,1373,3295380.00,3182274.00,508789.00,2673484.00,3234140.00,2045316.00,807517.00,30780.00,-4371.00,0.00,0.00
"Manufacture of wire nails, not in steel rolling",15258,2016,A,8,441,441,874767.00,822000.00,54790.00,767210.00,947484.00,802988.00,120221.00,3595.00,-78371.00,0.00,0.00
"Pipes and tubes manufacturing, iron or steel",15227,2016,A,26,3026,3024,9878137.00,8624203.00,752026.00,7872176.00,9838255.00,6780970.00,2629586.00,248721.00,-427046.00,0.00,0.00
Manufacture of nata de coco,1520,2016,B,5,52,45,116093.00,114840.00,3820.00,111020.00,116093.00,106743.00,5115.00,0.00,27.00,0.00,0.00
Manufacture of mechanical implements for crop production,15331,2016,B,4,12,12,5024.00,4213.00,1075.00,3138.00,2552.00,2093.00,2444.00,0.00,10.00,0.00,0.00
Men's and boys' garment manufacturing,1599,2016,A,157,20118,20099,14688498.00,13415850.00,4272006.00,9143844.00,14510387.00,7975715.00,5963955.00,84642.00,-144565.00,0.00,0.00
"Manufacture of miscellaneous fabricated metal products, n.e.c.",15264,2016,A,95,8171,8166,10633534.00,9656339.00,1735509.00,7920829.00,10453074.00,6757948.00,3025941.00,37286.00,151434.00,0.00,0.00
Manufacture of refined petroleum products,15156,2016,A,11,1971,1968,402115216.00,388456367.00,5709909.00,382746458.00,389472794.00,332167109.00,35257060.00,61824.00,-27028140.00,0.00,0.00
Repair of machinery,15407,2016,B,256,1938,1607,558732.00,441569.00,166068.00,275502.00,558732.00,191864.00,302489.00,12286.00,144.00,0.00,0.00
Manufacture of fabricated wire products,16254,2016,A,26,5346,5321,6382219.00,5688466.00,968094.00,4720371.00,6322242.00,3885149.00,2031226.00,341224.00,333031.00,0.00,0.00
Manufacture of candies (excluding chocolate candies) and chewing gum,1549,2016,A,30,2202,2190,6324807.00,5382195.00,520342.00,4861853.00,6167960.00,3695222.00,1739428.00,192515.00,-116932.00,0.00,0.00
"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",15146,2016,A,7,2307,2307,6807585.00,6470079.00,137084.00,6332995.00,6905181.00,5975132.00,652506.00,40332.00,385793.00,0.00,0.00
Building of ships and boats other than sports and pleasure boats,15355,2016,B,17,176,168,60111.00,54471.00,17106.00,37365.00,59497.00,29770.00,27015.00,0.00,-26.00,0.00,0.00
"Manufacture of articles of concrete, cement and plaster, n.e.c.",15218,2016,B,9,116,116,510076.00,469539.00,12869.00,456671.00,496976.00,421528.00,59210.00,7579.00,12944.00,0.00,0.00
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",1529,2016,A,12,1238,1228,10358468.00,8638007.00,615627.00,8022379.00,10476310.00,5270770.00,2819179.00,20386.00,226858.00,0.00,0.00
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1543,2016,A,50,10978,10964,31084642.00,25222392.00,2223255.00,22999137.00,30770503.00,19274675.00,9224606.00,634126.00,-4910.00,0.00,0.00
Manufacture of knitted and crocheted fabrics,1583,2016,B,20,187,187,85826.00,93001.00,27495.00,65506.00,79416.00,42672.00,27398.00,0.00,7243.00,0.00,0.00
Manufacture of rubber tires (including parts) and tubes,15190,2016,B,6,67,66,236787.00,227780.00,5289.00,222491.00,239312.00,198345.00,18574.00,0.00,12817.00,0.00,0.00
Manufacture of wooden coffin,15398,2016,A,9,321,321,276161.00,261142.00,58594.00,202547.00,275208.00,173470.00,89180.00,2882.00,3995.00,0.00,0.00
Manufacture of machine tools for working metal,15333,2016,B,8,117,117,283269.00,255776.00,39282.00,216494.00,281425.00,192070.00,73630.00,12312.00,-12245.00,0.00,0.00
"Manufacture of carpets and rugs, except mats of textile materials",1588,2016,B,13,169,169,26598.00,22775.00,5307.00,17468.00,26598.00,7843.00,9262.00,0.00,0.00,0.00,0.00
Manufacture of pipe fittings of iron or steel,15228,2016,A,6,359,359,1507115.00,1473298.00,80650.00,1392649.00,1541340.00,1329974.00,165146.00,1773.00,23313.00,0.00,0.00
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,15144,2016,A,88,8529,8339,36629469.00,33172590.00,3718645.00,29453945.00,36594676.00,26165841.00,8603759.00,676674.00,163970.00,0.00,0.00
Manufacture of soap and detergents,15176,2016,A,43,4430,4425,61865797.00,49617659.00,2969091.00,46648568.00,60644900.00,27433497.00,15769093.00,1543310.00,-266527.00,0.00,0.00
"Manufacture of weapons and ammunitions, n.e.c.",15248,2016,B,5,16,12,3662.00,3580.00,1676.00,1904.00,3662.00,718.00,1925.00,870.00,-28.00,0.00,0.00
"Manufacture of medical, surgical, dental furniture and fixtures",15388,2016,A,9,2711,2706,8330566.00,7432114.00,1328321.00,6103793.00,8107115.00,4092182.00,3149538.00,607132.00,5234.00,0.00,0.00
Manufacture of general hardware,15254,2016,B,4,63,63,37447.00,34587.00,12586.00,22001.00,48193.00,28321.00,16328.00,0.00,6769.00,0.00,0.00
Manufacture of side cars,15362,2016,A,3,72,66,61817.00,39044.00,7986.00,31058.00,62217.00,29802.00,31940.00,0.00,-6936.00,0.00,0.00
Manufacture of embroidered fabrics,1593,2016,A,8,286,283,128946.00,118710.00,36410.00,82300.00,128463.00,70688.00,53307.00,0.00,14.00,0.00,0.00
"Manufacture of radar equipment, radio remote control apparatus",15270,2016,A,10,840,840,1662327.00,1534495.00,125803.00,1408693.00,1628624.00,1287420.00,289896.00,76548.00,9554.00,0.00,0.00
"Service activities related to printing, n.e.c.",15152,2016,A,18,998,998,1406942.00,1342065.00,167919.00,1174146.00,1408531.00,1010278.00,302510.00,9356.00,-20315.00,0.00,0.00
Manufacture of metal coffin,15399,2016,B,6,60,39,7590.00,5746.00,1155.00,4591.00,7650.00,3478.00,3569.00,0.00,460.00,0.00,0.00
Manufacture of air and spacecraft and related machinery,15358,2016,B,3,40,40,500834.00,389667.00,4437.00,385230.00,483869.00,356803.00,103700.00,0.00,15568.00,0.00,0.00
Canning/packing and preserving of fruits and fruit juices,1511,2016,B,32,298,276,429281.00,392305.00,52755.00,339551.00,440072.00,310819.00,112830.00,0.00,11737.00,0.00,0.00
Manufacture of leather parts of footwear,15119,2016,A,6,806,802,572760.00,535696.00,131022.00,404673.00,587993.00,256888.00,197539.00,17235.00,35411.00,0.00,0.00
"Manufacture of products of leather and imitation leather, n.e.c.",16110,2016,B,5,46,42,13984.00,15400.00,6252.00,9148.00,13937.00,5651.00,7682.00,0.00,-167.00,0.00,0.00
"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",15188,2016,B,37,663,618,966753.00,906928.00,52406.00,854522.00,569481.00,363046.00,180651.00,0.00,-229515.00,0.00,0.00
Manufacture of worked lumber,15122,2016,B,3,26,26,17274.00,16737.00,2493.00,14243.00,13778.00,7071.00,6185.00,0.00,-2161.00,0.00,0.00
Roasting of nut or manufacture of nut foods and pastes,1515,2016,A,13,1255,1253,2642553.00,2441034.00,167514.00,2273520.00,2650682.00,2195391.00,402198.00,19.00,74773.00,0.00,0.00
"Manufacture of aluminum window and door screens, shades and venetian blinds",15263,2016,B,40,278,276,127710.00,110239.00,24230.00,86008.00,130037.00,79198.00,45457.00,0.00,6782.00,0.00,0.00
Egg processing including fertilized egg (balut) and salted eggs,1559,2016,B,6,30,26,12651.00,10188.00,1515.00,8673.00,12491.00,7384.00,4497.00,0.00,-124.00,0.00,0.00
"Distilling, rectifying and blending of spirits",1565,2016,A,9,1396,1396,53424322.00,42014115.00,1872512.00,40141602.00,54133970.00,25851340.00,24287780.00,4861954.00,2740217.00,0.00,0.00
Manufacture of soap and detergents,15176,2016,B,41,292,292,326515.00,322925.00,48137.00,274789.00,326310.00,247633.00,64620.00,23382.00,73.00,0.00,0.00
Roasting of nut or manufacture of nut foods and pastes,1515,2016,B,26,227,170,80496.00,57657.00,9531.00,48126.00,76196.00,36914.00,37816.00,0.00,17110.00,900.00,0.00
"Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",15189,2016,A,3,480,480,513080.00,453194.00,73000.00,380193.00,510942.00,340820.00,141849.00,3328.00,12395.00,9644.00,0.00
"Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",15262,2016,A,3,628,628,1476904.00,1318121.00,320020.00,998101.00,1346279.00,728732.00,550284.00,-11868.00,-101566.00,0.00,0.00
Flour milling except cassava flour milling,1534,2016,A,10,1685,1684,38777342.00,33420222.00,1293467.00,32126755.00,38446976.00,27804616.00,8272179.00,808179.00,761756.00,0.00,0.00
Manufacture of textile industrial bags,1584,2016,B,10,160,150,330944.00,303296.00,20615.00,282681.00,329078.00,261240.00,60923.00,1350.00,619.00,0.00,0.00
Manufacture of rough lumber,15121,2016,B,68,1273,1146,902895.00,839011.00,101185.00,737825.00,848954.00,675533.00,163093.00,0.00,-13391.00,0.00,0.00
Manufacture of general hardware,15254,2016,A,8,3512,3512,4339503.00,4187217.00,659616.00,3527600.00,4250702.00,3128758.00,952305.00,5865.00,42954.00,0.00,0.00
Manufacture of electrical quantities measuring and controlling instruments,15271,2016,B,4,42,42,69165.00,67648.00,15146.00,52501.00,55114.00,27561.00,18369.00,1635.00,468.00,0.00,0.00
"Manufacture of dairy products, n.e.c.",1531,2016,B,6,59,55,93446.00,90069.00,7296.00,82773.00,92417.00,69435.00,16929.00,30.00,273947.00,0.00,0.00
"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",15200,2016,A,13,860,860,3871016.00,3885550.00,252813.00,3632737.00,3814699.00,3153598.00,412822.00,49071.00,-129649.00,0.00,0.00
"Manufacture of articles of concrete, cement and plaster, n.e.c.",15218,2016,A,10,529,529,2862818.00,2318619.00,158187.00,2160431.00,2567059.00,1432655.00,829874.00,47570.00,53830.00,0.00,0.00
Manufacture of plastic household wares,16191,2016,A,40,3076,3067,8162483.00,7520896.00,671960.00,6848936.00,7371784.00,5629235.00,1493166.00,90140.00,248276.00,0.00,0.00
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1541,2016,B,30,504,486,271207.00,257715.00,36544.00,221172.00,261027.00,189600.00,59859.00,0.00,-16203.00,0.00,0.00
"Integrated pulp, paper and paperboard milling",16137,2016,A,10,793,793,2725874.00,2554221.00,301518.00,2252703.00,2792104.00,2058958.00,635251.00,321659.00,177069.00,0.00,0.00
"Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works or rolling mills",15229,2016,B,25,293,293,366084.00,320865.00,25739.00,295126.00,228873.00,143715.00,80448.00,0.00,-50744.00,0.00,0.00
Manufacture of box beds and mattresses,15369,2016,B,11,180,172,118116.00,165571.00,14708.00,150863.00,102178.00,105192.00,-22478.00,0.00,52922.00,0.00,0.00
"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1569,2016,B,42,328,328,3101660.00,2882342.00,95052.00,2787290.00,3097745.00,1723072.00,527858.00,972013.00,68414.00,0.00,0.00
"Manufacture of ice, except dry ice",1557,2016,A,54,2462,2438,3243155.00,2780888.00,394724.00,2386164.00,3213072.00,2028077.00,1076297.00,50431.00,-11087.00,0.00,0.00
"Manufacture of identification plates, badges, emblems and tags",15402,2016,A,3,445,445,374875.00,324528.00,97440.00,227089.00,369513.00,160433.00,187488.00,34860.00,-2696.00,0.00,0.00
"Manufacture of pulp, paper and paperboard, n.e.c.",15143,2016,B,5,75,75,81953.00,48222.00,9283.00,38938.00,82169.00,31000.00,43611.00,0.00,970.00,0.00,0.00
Repairing of sports and pleasure boats,15411,2016,B,4,36,33,37681.00,30757.00,9456.00,21301.00,32770.00,12454.00,19092.00,0.00,-1322.00,0.00,0.00
Repairing of ships and boats other than sports and pleasure boats,15410,2016,A,22,3818,3818,3351220.00,2939934.00,541906.00,2398028.00,3348141.00,1881436.00,1159889.00,61200.00,159753.00,0.00,0.00
Manufacture of uninterruptible power supplies (ups),15303,2016,A,3,6979,6979,46499965.00,39855766.00,3241857.00,36613908.00,46480220.00,32950379.00,10440483.00,968626.00,946273.00,0.00,0.00
Manufacture of other electronic and electric wires and cables,15290,2016,B,9,141,138,2520396.00,2363163.00,40354.00,2322809.00,2551796.00,2283357.00,250214.00,0.00,-10196.00,0.00,0.00
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110,2016,A,42,10599,10568,8254926.00,6457587.00,1993842.00,4463745.00,8018521.00,3608097.00,3926660.00,44564.00,76550.00,0.00,0.00
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110,2016,B,39,398,344,53167.00,45113.00,18526.00,26587.00,52325.00,14137.00,27566.00,0.00,-624.00,0.00,0.00
Manufacture of inorganic salts and compounds,15160,2016,A,6,497,495,17323875.00,17028672.00,234092.00,16794580.00,17351621.00,3956731.00,1267118.00,593352.00,460303.00,0.00,111049.00
Tanning and dressing of leather,15109,2016,A,3,206,205,224482.00,217573.00,25635.00,191938.00,229652.00,167517.00,52048.00,2171.00,3987.00,0.00,0.00
Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),1513,2016,A,20,1699,1690,13213559.00,12346802.00,1174916.00,11171886.00,13012396.00,8270383.00,2709178.00,188947.00,46833.00,0.00,0.00
