"Industry Description","2015 Total Employment of Less than 20 Number of establishments","2015 Total Employment of Less than 20 Total employment","2015 Total Employment of Less than 20 Paid employees","2015 Total Employment of Less than 20 Total income","2015 Total Employment of Less than 20 Total expense","2015 Total Employment of Less than 20 Compensation","2015 Total Employment of Less than 20 Other expense","2015 Total Employment of Less than 20 Value of output","2015 Total Employment of Less than 20 Intermediate expense","2015 Total Employment of Less than 20 Value added","2015 Total Employment of Less than 20 Gross addition to tangible fixed assets","2015 Total Employment of Less than 20 Change in inventories","2015 Total Employment of Less than 20 Subsidies","2015 Total Employment of Less than 20 Sales from e-commerce transactions"
"Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",40,415,415,207332,239668,82754,156914,215366,116674,76495,0,16280,418,0
"Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",174,1934,1775,649383,619831,116178,503653,633150,426581,185144,374,-6461,0,0
"Manufacture of structural metal products, n.e.c.",38,337,337,176763,122336,42239,80097,176381,56017,103827,7492,816,0,0
"Manufacture of tanks, reservoirs and containers of metal",22,235,235,660816,617494,23106,594388,656033,553448,79014,99522,-5594,0,0
"Manufacture of steam generators, except central heating hot water boilers",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of small arms and accessories",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of weapons and ammunitions, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Forging, pressing, stamping and roll-forming of metal products",55,642,622,1092214,980917,85405,895512,1080457,855598,209743,0,-11203,0,0
"Powder metallurgy",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Treatment and coating of metals; machining",33,262,251,4878538,4745479,105698,4639780,4871287,4414832,269263,0,3918707,0,0
"Manufacture of cutlery",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of hand tools",21,287,287,213968,198602,55224,143378,201211,108034,80797,385,-18460,0,0
"Manufacture of general hardware",7,105,105,96570,73399,22978,50421,101140,42406,48321,0,8743,0,0
"Manufacture of blacksmithing tools and welding shop operation",149,852,825,1591482,1516342,85440,1430902,1553860,1338121,188719,294,-32477,0,0
"Manufacture of molding boxes for metal foundry",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of metal containers used for the packing or conveyance of goods",27,279,238,597727,588505,49248,539257,597078,502355,81064,7446,13585,0,0
"Manufacture of wire nails, not in steel rolling",3,28,28,14743,14105,3607,10498,14685,9412,4767,0,1338,0,0
"Manufacture of fa bricated wire products",21,141,121,50387,47551,7575,39977,50370,36750,11832,0,5647,0,0
"Manufacture of small hand-operated kitchen appliances",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of metal sanitary ware and plumbing fixtures",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of aluminum window and door screens, shades and venetian blinds",34,456,446,308332,273804,36616,237188,308332,200576,84427,0,788,0,0
"Manufacture of miscellaneous fabricated metal products, n.e.c.",75,942,942,279707,283957,63473,220484,281094,158982,73875,216,5176,0,0
"Manufacture of electronic valves and tubes",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of semi-conductor devices and other electronic components",13,173,172,190153,176711,33535,143176,189135,112667,50019,3825,-2304,0,0
"Manufacture of computers and peripheral equipment and accessories",4,39,38,50727,33080,10323,22757,49018,14830,28660,0,-5699,0,0
"Manufacture of communication equipment",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of consumer electronics",3,42,40,20623,20714,7558,13156,20971,8460,9010,16,2167,0,0
"Manufacture of radar equipment, radio remote control apparatus",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of electrical quantities measuring and controlling instruments",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of temperature measuring and controlling hygrometric instruments",5,60,60,67290,75781,17778,58003,67778,35278,11883,183,1517,0,0
"Manufacture of flow of liquids or gases measuring and controlling instruments",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of mechanical motion, measuring and controlling, timing and cycle instruments",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of industrial process control equipment",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of professional and scientific and measuring and controlling equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of watches and clocks of all kinds including cases of precious metals",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of other watch and clocks parts, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of optical instruments and lenses",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of photographic equipment and accessories",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of magnetic and optical media",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of electric motors and generators",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of electrical transformers",5,55,55,98297,89371,9240,80131,93728,50873,31529,0,-10713,0,0
"Manufacture of switch gear and switchboard apparatus",3,50,50,90880,90001,8142,81860,90929,74062,10415,0,1906,0,0
"Manufacture of electricity distribution equipment",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of switches, fuses, sockets, plugs, conductors and lightning arresters and other control apparatus",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of accumulators (storage batteries) including parts",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of primary cells and batteries",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of fiber optic cables",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of other electronic and electric wires and cables",11,138,138,1431405,1385435,24981,1360454,1419940,1257022,79013,0,-10204,0,0
"Manufacture of wiring devices",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of electric lamps fluorescent and fixtures",7,76,61,15885,15728,3241,12487,10610,10168,5307,0,585,0,0
"Manufacture of lighting equipment and parts except for use on cycle and motor equipment",3,27,27,40021,40306,5156,35149,38502,28822,7243,1094,-690,0,0
"Manufacture of motor vehicle lighting equipment",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of lighting sets used for christmas trees and the like",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of domestic electric fans",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of domestic-type refrigerators and laundry equipment (e.g. clothes washers, washer-dryers, dryers)",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of domestic cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",3,38,37,18466,18070,4630,13440,16913,9683,6527,0,-3645,0,0
"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or teamakers)",5,41,39,52257,49561,6338,43222,52326,37337,12068,0,2029,0,0
"Manufacture of domestic-type water filters and/or purifiers",8,110,110,155517,155756,26122,129634,149334,106382,32981,6185,-14283,0,0
"Manufacture of domestic appliances, n.e.c.",3,44,44,228916,222037,10339,211698,221664,179874,23804,0,-8607,0,0
"Manufacture of battery chargers, solid state",6,65,65,647949,595371,22969,572402,640065,553341,73128,0,148,0,0
"Manufacture of uninterruptible power supplies (ups)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of appliance cords, extension cords, and other electrical cord",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of other electrical equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of internal combustion engines (gas and diesel)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of engines and turbines for marine propulsion",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of parts of engines and turbines, except for aircraft, vehicle and cycle engines",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of fluid power equipment",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of bearings, gears and driving elements",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of ovens, furnaces and furnace burners",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",3,40,40,90777,85825,9058,76766,90897,66596,17866,92,6358,0,0
"Manufacture of derricks, lifting and handling equipment for construction and mining",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of other lifting and handling equipment, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of calculating machines, adding machines, cash registers, calculators",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of bills/coin counting and coin wrapping machinery",5,42,41,43458,43939,10145,33792,43600,26464,10826,-421,-2779,0,0
"Manufacture of other of fice and accounting machineries",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of other office machinery and equipment (except computers and peripheral equipment), n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of power-driven hand tools",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of weighing machines except scientific weighing apparatus used for laboratories",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of refrigerating or freezing equipment for commercial purposes",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of unit air-conditioners",7,76,76,1613589,1293730,159672,1134059,1112805,521502,505783,21996,-22397,0,0
"Manufacture of packing and wrapping machinery",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of machinery for cleaning or drying bottles or other containers or for aerating beverages",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",12,169,169,352237,327406,27778,299628,377987,311274,61046,26,38512,0,0
"Manufacture of gas or electric welding, brazing or soldering machines",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",3,27,27,88122,84712,4301,80411,86430,72855,9398,0,-1774,0,0
"Manufacture of farm tractors",3,47,45,40197,38796,2509,36287,38436,30343,5892,2429,-2929,0,0
"Manufacture of mechanical implements for crop production",3,26,23,8489,6631,2509,4122,5232,2752,4930,0,-437,0,0
"Manufacture of agricultural and forestry machinery and equipment, n.e.c.",11,63,60,31386,29393,5732,23662,31249,13340,13111,0,5652,0,0
"Manufacture of machine tools for working metal",9,110,110,341802,323631,66818,256813,344387,221520,105434,7993,5784,0,0
"Manufacture of machine tools and accessories including precision measuring tools",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Parts and accessories for the machine tools classified in this group",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of metal-forming machinery and machine tools, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of machinery for metallurgy",4,43,43,183593,181065,5993,175073,172235,150555,16293,80,-11410,0,0
"Manufacture of heavy machinery and equipment used for mining and quarrying",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of heavy machinery and equipment used for construction",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of machinery for food processing",4,30,29,18573,18519,1420,17099,18991,13376,3466,0,27,0,0
"Manufacture of presses, crushers and similar machinery used to make wine, cider, fruit juices or similar beverages",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of textile machinery",3,24,22,11623,11194,2321,8872,11710,5848,3303,0,-449,0,0
"Manufacture of washing, laundry, dry-cleaning and pressing machines",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of needles for knitting, sewing machines",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of machinery for pulp, paper and paperboard industries",4,20,20,174224,142773,6794,135978,165872,89846,32401,0,10996,0,0
"Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials",10,86,86,1410720,1332861,75560,1257302,1412477,1109281,192626,2355,-19030,0,0
"Manufacture of printing-trade machinery and equipment",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of machinery for producing tiles, bricks, shaped ceramic",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of other special-purpose machinery, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of motor vehicles",15,195,188,319239,277201,12823,264378,354604,272143,68314,0,25237,0,0
"Manufacture of bodies (coachwork) for motor vehicles",21,236,236,167608,148603,35297,113306,167608,97584,58286,0,1063,0,0
"Manufacture of trailers and semi-trailers",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of electric ignition or starting equipment for internal combustion engines",4,61,61,49276,49590,7407,42182,49080,35452,9039,0,-1197,0,0
"Manufacture of parts and accessories for motor vehicles and their engines",39,316,304,233525,200907,29617,171290,242516,142143,70382,0,9609,0,0
"Building of ships and boats other than sports and pleasure boats",17,238,232,64848,51802,26420,25382,64848,20885,42912,3210,363,0,0
"Manufacture of metal sections for ships and barges",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of other pleasure and sporting boats, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of air and spacecraft and related machinery",4,49,49,225313,183655,17931,165724,205645,139148,47661,2880,-2914,0,0
"Manufacture and assembly of motorcycles",5,63,63,719312,696485,9703,686782,719039,655489,56581,0,28777,0,0
"Manufacture of motorcycle engines and parts thereof",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of tricycles and parts thereof",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of side cars",22,102,67,49537,38678,4350,34328,49483,31053,18203,0,374,0,0
"Manufacture of parts and accessories of motorcycles",4,31,31,51970,48234,7011,41223,47231,31371,12209,0,-1341,0,0
"Manufacture of bicycles and bicycle parts",5,45,45,16979,15528,2519,13008,17658,11314,4569,0,1068,0,0
"Manufacture of invalid carriages, motorized and non-motorized",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of hand-propelled vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of wood furniture",559,4261,3813,2080516,1859979,950526,909453,2066592,722045,1257388,190530,36662,0,0
"Manufacture of rattan furniture (reed, wicker, and cane)",42,247,137,21991,26687,5672,21015,21973,10742,8411,0,-698,0,0
"Manufacture of box beds and mattresses",15,196,196,199785,160418,15951,144467,190678,114283,58089,0,-13277,0,0
"Manufacture of partitions, shelves, lockers and office and store fixtures",16,250,246,179477,174178,25665,148513,179477,137133,37046,0,-1483,0,0
"Manufacture of plastic furniture",8,94,94,176196,170877,18266,152611,174456,140472,35001,8201,43848,0,0
"Manufacture of furniture and fixtures of metal",48,532,508,512821,473596,71067,402529,512975,367165,133404,13214,-650,0,0
"Manufacture of other furniture and fixtures, n.e.c.",20,284,272,309361,295060,36526,258535,310218,244791,58669,150740,-21347,0,0
"Manufacture of jewelry made of precious and semi-precious stones",39,236,228,109396,112079,43034,69045,111331,41508,47312,2517,-237,0,0
"Manufacture of silverware and plated ware",6,46,38,10214,11069,3860,7209,10142,4939,3740,850,-64,0,0
"Manufacture of articles related to jewelry",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of imitation of jewelry and related articles",9,103,103,74783,66406,23247,43159,73099,35743,33639,46,140,26,0
"Manufacture of guitars",6,62,40,8794,7469,3499,3970,8766,2994,5491,0,-790,0,0
"Manufacture of wind and percussion instruments",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of musical instrument parts and accessories",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of sporting gloves and mitts",6,61,59,33690,30754,5565,25189,33553,21547,10486,2248,-9,0,0
"Manufacture of sporting balls",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of sporting and athletic goods, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of dolls and doll garments",4,39,39,30437,29602,2293,27309,30372,24002,3557,0,361,0,0
"Manufacture of wheeled toys",11,115,108,95121,112761,8550,104211,79132,78850,-2673,0,-14471,0,0
"Manufacture of electronic games (video games, checkers)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of toys and games, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of medical, surgical, dental furniture and fixtures",7,90,90,91108,84196,18232,65964,86769,48558,25932,1635,1484,0,0
"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles",3,23,19,40875,40485,5243,35241,40875,28459,6671,0,121,0,0
"Manufacture of prosthetic appliances, artificial teeth made to order",9,90,90,29083,29260,15999,13260,29083,8196,18037,0,-1265,0,0
"Manufacture of medical and precision instruments",6,79,79,46092,37911,6951,30961,47332,29285,15626,0,7945,0,0
"Manufacture of other medical and dental instruments and supplies, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of pens and pencils of all kinds",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of umbrellas, walking sticks, canes, whips and riding crops",3,27,26,173813,167158,2233,164925,173813,162826,9472,251,3338,0,0
"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",12,112,111,49435,46962,10506,36456,50954,29168,15144,-4,5160,0,0
"Manufacture of candles",20,190,182,174701,168461,17643,150818,172353,136832,28811,5236,-6681,0,0
"Manufacture of artificial flowers, fruits and foliage",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of wooden coffin",16,100,96,90716,77774,10903,66871,90233,51252,29287,0,3844,0,0
"Manufacture of metal coffin",6,75,69,4210,3280,2434,846,4150,581,3539,0,-93,0,0
"Manufacture of buttons, except plastic",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of brooms, brushes and fans",7,93,84,38425,35574,5164,30410,38601,29332,8023,32,3109,0,0
"Manufacture of identification plates, badges, emblems and tags",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of signs and advertising displays",22,160,160,328937,317534,50143,267390,328670,247117,74349,2250,3810,0,0
"Manufacture of cigarette lighters",27,273,267,505194,476578,49537,427041,504701,384257,86876,2031,946,0,0
"Manufacture of miscellaneous articles, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Repair of fabricated metal products",234,1909,1864,805505,540723,208429,332293,805538,264474,512701,0,-7590,0,0
"Repair of machinery",230,2534,2405,947287,909881,166467,743414,935734,658514,249888,20161,-71089,0,0
"Repair of electronic and optical equipment",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Repair of electrical equipment",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Repairing of ships and boats other than sports and pleasure boats",26,374,363,894023,993331,63374,929957,861258,454186,301906,22045,1061,0,0
"Repairing of sports and pleasure boats",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Repair of transport equipment, except motor vehicles, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Repair of other equipmen t",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Installation of industrial machinery and equipment",s,s,s,s,s,s,s,s,s,s,s,s,s,s
