Industry Description,Number of establishments,Total employment,Paid employees,Total income,Total expense,Compensation,Other expense,Value of output,Intermediate expense,Value added,Gross addition to tangible fixed assets,Change in inventories,Subsidies,Sales from e-commerce transactions
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted o r crocheted directly into shape",13,1722,1722,2079560,1779312,378655,1400657,2033053,1058929,734275,20714,-58127,0,0
"Manufacture of knitted and crocheted articles, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Tanning and dressing of leather,3,199,198,224700,212201,17305,194896,230311,175889,44296,2274,-4743,0,0
"Manufacture of luggage, handbags and wallets of leather and imitation leather",49,11372,11315,7240197,6641868,1526549,5115319,7008077,4527367,2329557,272992,-1093,0,0
"Manufature of products of leather and imitation leather, n.e.c.",11,8476,8474,17444857,15460477,1640470,13820007,17311741,12170042,4363764,101183,-1451473,0,0
Manufacture of leather shoes,47,4042,3987,2245684,2144393,418696,1725696,2263738,1486531,633015,37347,79118,0,0
Manufacture of rubber shoes,9,1006,1004,560005,556288,125537,430751,567470,415302,139047,4873,34221,0,0
Manufacture of plastic shoes,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of shoes made of textile materials with applied soles,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of wooden footwear and accessories,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of rubber slippers,13,1093,1092,1035570,993092,183309,809784,1066359,771819,277975,10785,43043,0,0
"Manufacture of slippers and sandals, other than rubber",16,1126,1086,450433,431498,75724,355774,448531,321720,111618,3953,-16823,0,0
Manufacture of leather parts of footwear,7,656,654,547826,540567,122751,417816,552292,262341,164734,37056,12652,0,0
"Manufacture of other footwear, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of rough lumber,24,1929,1910,1292474,1152881,150213,1002668,1289196,849664,349036,9404,25868,0,0
Manufacture of worked lumber,3,92,89,63036,58474,11076,47398,62560,36542,25050,0,9259,0,0
Wood preserving and drying,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Sawmilling and planing of wood products, n.e.c.",3,68,63,76020,79449,6704,72745,149411,123621,16467,0,14447,0,0
Manufacture of veneer sheets and plywood,35,4890,4881,9012757,7748639,819986,6928653,9035305,6048317,2391452,151086,-32063,0,0
"Manufacture of laminboard, particle board and other panels and board",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of wooden window and door screens, shades and venetian blinds",4,370,370,714702,675309,88809,586500,719895,494354,160676,6108,16654,0,0
Manufacture of other builders' carpentry and joinery; millworking,13,5168,5155,24266272,22821332,933126,21888206,24419581,20949260,2774764,557034,607330,0,0
Manufacture of wooden containers,12,494,488,322678,308658,49851,258807,319532,227052,75168,5745,-20977,0,0
Manufacture of wood carvings,24,1510,1491,533410,504071,124178,379893,534551,282996,198397,25304,15967,45,0
Manufacture of charcoal outside the forest,4,366,363,716420,654786,40156,614630,707283,567564,148964,4913,20886,0,0
Manufacture of wooden wares,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of rattan and cane containers,5,331,331,218144,187526,31955,155570,208793,139999,58384,7616,-9928,0,0
"Manufacture of sawali, nipa and split canes",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of small cane wares,22,911,885,899249,785238,153416,631822,885146,533962,294478,13415,-1266,0,0
"Manufacture of articles of cork, straw and plaiting materials",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture other products of bamboo, cane, rattan and the like, and plaiting materials except furniture, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e .c.",16,973,963,684197,624505,178639,445866,657188,340570,280203,32815,-514,0,0
"Integrated pulp,paper and paperboard milling",10,919,913,2692612,2613414,227267,2386147,2649959,2122979,415065,4377,-49918,0,0
Pulp milling,7,704,704,4946448,4815737,207772,4607965,4964998,4348171,458808,59033,44160,0,0
Paper and paperboard milling,23,3210,3210,18318217,17011078,1134270,15876808,18510548,13779914,3089315,337254,-67744,0,0
