industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,1522,2015,B,22,194,190,631669.00,606258.00,47846.00,558412.00,626872.00,439912.00,136208.00,0.00,-10935.00,0.00,0.00
"Manufacture of partitions, shelves, lockers and office and store fixtures",15370,2015,B,16,250,246,179477.00,174178.00,25665.00,148513.00,179477.00,137133.00,37046.00,0.00,-1483.00,0.00,0.00
"Manufacture of drinks flavored with fruit juices, syrups or other materials",1570,2015,A,11,1195,1195,2311026.00,2066393.00,251487.00,1814906.00,2265639.00,1379186.00,622816.00,51776.00,-17478.00,2892.00,0.00
Manufacture of alcohol except ethyl/ethanol,15162,2015,A,4,663,663,5886368.00,4863445.00,559870.00,4303575.00,5941861.00,2908607.00,1667915.00,279809.00,120745.00,0.00,0.00
"Manufacture of carpets and rugs, except mats of textile materials",1588,2015,B,13,158,158,10118.00,6365.00,2650.00,3715.00,10418.00,2773.00,6536.00,0.00,-30.00,0.00,0.00
Manufacture of consumer electronics,15269,2015,A,22,12936,12936,55170854.00,43615683.00,2662867.00,40952816.00,55112046.00,39053997.00,15314647.00,171365.00,-44787.00,0.00,0.00
Egg processing including fertilized egg (balut) and salted eggs,1559,2015,B,6,56,48,24898.00,23144.00,4893.00,18251.00,23772.00,14594.00,8770.00,760.00,-1102.00,0.00,0.00
Manufacture of paints,15170,2015,A,36,3643,3643,32042910.00,28678219.00,1039174.00,27639045.00,31253082.00,24834452.00,4974760.00,294100.00,-583254.00,0.00,0.00
Manufacture of machine tools and accessories including precision measuring tools,15334,2015,A,7,305,304,286178.00,289806.00,73604.00,216202.00,280081.00,156943.00,82684.00,31109.00,403.00,0.00,0.00
"Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",15314,2015,A,8,477,474,859727.00,764154.00,76117.00,688037.00,865579.00,614816.00,194020.00,84.00,-24892.00,0.00,0.00
"Manufacture of chewing and smoking tobacco, snuff",1576,2015,A,4,929,927,1269719.00,1218312.00,136672.00,1081640.00,1449797.00,951171.00,242914.00,0.00,181281.00,0.00,0.00
Manufacture of sporting gloves and mitts,15381,2015,A,3,915,915,672649.00,659761.00,205538.00,454224.00,669188.00,319769.00,250241.00,942.00,4243.00,0.00,0.00
Manufacture of charcoal outside the forest,15131,2015,A,4,366,363,716420.00,654786.00,40156.00,614630.00,707283.00,567564.00,148964.00,4913.00,20886.00,0.00,0.00
Manufacture of soap and detergents,15176,2015,A,40,4796,4791,89845812.00,72129953.00,2874020.00,69255933.00,87845793.00,59277750.00,21967147.00,37134.00,-163088.00,0.00,0.00
"Manufacture of bearings, gears and driving elements",15312,2015,A,6,1235,1225,1986163.00,1415879.00,325325.00,1090554.00,1944315.00,787207.00,1009046.00,0.00,-17193.00,0.00,0.00
Canning/packing and preserving of fruits and fruit juices,1511,2015,A,36,13191,13179,26559086.00,25058015.00,4053548.00,21004466.00,26247656.00,16712051.00,6231945.00,473382.00,-208443.00,0.00,0.00
Manufacture of guitars,15378,2015,A,3,165,165,67773.00,58322.00,27585.00,30737.00,71813.00,20405.00,40441.00,1031.00,9872.00,0.00,0.00
Manufacture of glass containers,15205,2015,A,6,1228,1228,9515615.00,7937820.00,950207.00,6987613.00,9231907.00,4475405.00,3986246.00,492060.00,-264460.00,0.00,0.00
Manufacture of electricity distribution equipment,15285,2015,A,8,1188,1188,3251756.00,2052007.00,194775.00,1857232.00,2817892.00,1717698.00,1000070.00,8393.00,-512168.00,0.00,0.00
Manufactur e of popcorn and poprice,1550,2015,B,7,98,98,29508.00,30305.00,6937.00,23368.00,30307.00,21388.00,8041.00,0.00,-17540.00,0.00,0.00
Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials,15346,2015,A,7,586,586,517099.00,469438.00,93654.00,375784.00,514283.00,320677.00,165550.00,11416.00,-31310.00,0.00,0.00
Manufacture of blacksmithing tools and welding shop operation,15255,2015,B,149,852,825,1591482.00,1516342.00,85440.00,1430902.00,1553860.00,1338121.00,188719.00,294.00,-32477.00,0.00,0.00
Manufacture of articles related to jewelry,15376,2015,A,12,1118,1118,667115.00,555191.00,150225.00,404966.00,648552.00,307133.00,280036.00,6936.00,85438.00,0.00,0.00
Manufacture of electric ignition or starting equipment for internal combustion engines,15353,2015,A,20,42560,42552,86909071.00,82719116.00,9430734.00,73288382.00,85283450.00,64523754.00,16771115.00,640247.00,-157810.00,196.00,0.00
Manufacture of other articles of paper,15147,2015,B,35,522,522,1461693.00,1285225.00,68870.00,1216355.00,1452589.00,1098145.00,266663.00,0.00,-33508.00,0.00,0.00
Manufacture of leather parts of footwear,15119,2015,B,8,87,67,25354.00,25611.00,4638.00,20973.00,28940.00,20979.00,5163.00,0.00,1566.00,0.00,0.00
Manufacture of made-up textile goods for house furnishings,1585,2015,A,23,2990,2986,3552180.00,3487395.00,464090.00,3023305.00,3519727.00,2613352.00,673885.00,60673.00,69709.00,0.00,0.00
"Manufacture of umbrellas, walking sticks, canes, whips and riding crops",15394,2015,B,3,27,26,173813.00,167158.00,2233.00,164925.00,173813.00,162826.00,9472.00,251.00,3338.00,0.00,0.00
Manufacture of industrial (compressed and liquefied) gases,15159,2015,A,37,2380,2368,16481068.00,13831618.00,1151316.00,12680302.00,15233119.00,9867465.00,4155916.00,1029634.00,169809.00,0.00,0.00
Manufacture of cutlery,15252,2015,A,5,427,427,956039.00,928301.00,103727.00,824574.00,977938.00,714876.00,199445.00,10532.00,4386.00,2212.00,0.00
Manufacture of guitars,15378,2015,B,6,62,40,8794.00,7469.00,3499.00,3970.00,8766.00,2994.00,5491.00,0.00,-790.00,0.00,0.00
Retreading and rebuilding of tires,15191,2015,A,3,131,129,103459.00,90541.00,18574.00,71968.00,89599.00,50897.00,35423.00,2067.00,-1239.00,0.00,0.00
Manufacture of electrical transformers,15283,2015,B,5,55,55,98297.00,89371.00,9240.00,80131.00,93728.00,50873.00,31529.00,0.00,-10713.00,0.00,0.00
"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1569,2015,A,33,6842,6842,51337075.00,43593048.00,4038949.00,39554098.00,50524750.00,27432333.00,14734298.00,2319709.00,-150478.00,0.00,0.00
Manufacture of bottled water,1571,2015,B,2320,11411,9569,4756193.00,3600022.00,807966.00,2792056.00,4871477.00,1964256.00,2351393.00,10867.00,-15816.00,0.00,0.00
Manufacture of unprepared animal feeds from grain milling residues,1536,2015,B,15,157,154,678658.00,643229.00,25958.00,617270.00,674976.00,534959.00,104107.00,26395.00,-1556.00,0.00,0.00
