industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
"Copper and copper base alloy (brass, bronze) casting",15239,2015,A,3,439,439,3035670.00,2975330.00,171068.00,2804262.00,3031898.00,2454942.00,303743.00,102751.00,-120240.00,0.00,0.00
"Manufacture of wooden window and door screens, shades and venetian blinds",15127,2015,B,7,107,107,70257.00,55570.00,15439.00,40130.00,68251.00,31583.00,38169.00,4710.00,617.00,0.00,0.00
"Manufacture of tanks, reservoirs and containers of metal",15245,2015,A,16,1252,1252,2713574.00,2553051.00,521655.00,2031396.00,2705819.00,1684200.00,757330.00,35886.00,78103.00,0.00,0.00
Treatment and coating of metals; machining,15251,2015,B,33,262,251,4878538.00,4745479.00,105698.00,4639780.00,4871287.00,4414832.00,269263.00,0.00,3918707.00,0.00,0.00
Manufacture of watches and clocks of all kinds including cases of precious metals,15277,2015,A,3,2135,2135,1055498.00,1007062.00,626600.00,380462.00,1058190.00,210546.00,790271.00,20954.00,-44006.00,0.00,0.00
Manufacture of semi-conductor devices and other electronic components,15266,2015,A,145,150648,150644,435795464.00,392689368.00,50894312.00,341795056.00,441468596.00,287703328.00,133727326.00,17643066.00,9517394.00,604.00,0.00
Manufacture of leather shoes,15112,2015,B,32,210,190,47750.00,26847.00,8230.00,18617.00,47489.00,15566.00,30082.00,0.00,-536.00,0.00,0.00
Fruit wine manufacturing,1566,2015,B,8,43,43,19386.00,24217.00,6427.00,17790.00,31620.00,17482.00,5790.00,0.00,8237.00,0.00,0.00
"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",1523,2015,A,4,179,179,2473512.00,2426953.00,46737.00,2380215.00,2331765.00,2067534.00,230012.00,13816.00,76965.00,0.00,0.00
"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",15188,2015,A,84,13704,13666,70911473.00,63510389.00,7169673.00,56340716.00,50486418.00,23918276.00,15245831.00,3233323.00,-1194681.00,0.00,0.00
Manufacture of virgin coconut oil,1518,2015,B,20,184,170,157095.00,144177.00,17316.00,126860.00,104295.00,87707.00,4946.00,0.00,-14964.00,0.00,0.00
Manufacture of marble products,15222,2015,B,10,26,24,11666.00,10331.00,2631.00,7700.00,12190.00,7033.00,4914.00,0.00,546.00,0.00,0.00
Manufacture of temperature measuring and controlling hygrometric instruments,15272,2015,B,5,60,60,67290.00,75781.00,17778.00,58003.00,67778.00,35278.00,11883.00,183.00,1517.00,0.00,0.00
Manufacture of furniture and fixtures of metal,15372,2015,B,48,532,508,512821.00,473596.00,71067.00,402529.00,512975.00,367165.00,133404.00,13214.00,-650.00,0.00,0.00
Coffee roasting and processing,1555,2015,A,8,2546,2546,1269335.00,1113704.00,203835.00,909869.00,1238128.00,787491.00,418959.00,195952.00,52499.00,0.00,0.00
Coffee roasting and processing,1555,2015,B,14,130,110,87343.00,81509.00,14238.00,67271.00,86069.00,59975.00,24061.00,600.00,-1473.00,0.00,0.00
Manufacture of metal sanitary ware and plumbing fixtures,15261,2015,A,3,927,926,2127107.00,1527725.00,172906.00,1354819.00,2131904.00,1111733.00,956215.00,70089.00,-11130.00,0.00,0.00
Sugarcane milling,1544,2015,A,22,8611,8593,45051296.00,40458221.00,3311582.00,37146639.00,42119716.00,24622855.00,10373416.00,1785953.00,761685.00,0.00,0.00
"Manufacture of other furniture and fixtures, n.e.c.",15373,2015,B,20,284,272,309361.00,295060.00,36526.00,258535.00,310218.00,244791.00,58669.00,150740.00,-21347.00,0.00,0.00
Manufacture of accumulators (storage batteries) including parts,15287,2015,A,6,3166,3165,15642297.00,12569509.00,1607182.00,10962327.00,14481146.00,7846558.00,6130528.00,107888.00,-1945396.00,0.00,0.00
Rice/corn milling,1532,2015,B,1050,9113,7336,11129600.00,10402288.00,494587.00,9907701.00,11032174.00,9262333.00,1653742.00,1203917.00,-56927.00,0.00,0.00
Men's and boys' garment manufacturing,1599,2015,B,174,1802,1660,210080.00,178850.00,55473.00,123377.00,217216.00,86853.00,108725.00,8925.00,10392.00,0.00,0.00
Roasting of nut or manufacture of nut foods and pastes,1515,2015,A,14,1201,1198,2081389.00,1952653.00,150764.00,1801889.00,2103053.00,1751309.00,303483.00,0.00,32903.00,0.00,0.00
Manufacture of structural concrete products,15217,2015,B,358,3525,3237,1799997.00,1723638.00,202271.00,1521367.00,1804084.00,1252483.00,386046.00,0.00,17162.00,0.00,0.00
Manufacture of rubber shoes,15113,2015,A,9,1006,1004,560005.00,556288.00,125537.00,430751.00,567470.00,415302.00,139047.00,4873.00,34221.00,0.00,0.00
Manufacture of fa bricated wire products,15259,2015,B,21,141,121,50387.00,47551.00,7575.00,39977.00,50370.00,36750.00,11832.00,0.00,5647.00,0.00,0.00
Manufacture of starches and starch products,1539,2015,A,4,1141,1141,5555326.00,4959652.00,199849.00,4759803.00,6075035.00,4560715.00,1012780.00,0.00,421243.00,0.00,0.00
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1543,2015,A,52,10367,10363,27903363.00,25840367.00,1975335.00,23865032.00,27368722.00,19861717.00,4965854.00,57988.00,481292.00,103890.00,0.00
Manufacture of small hand-operated kitchen appliances,15260,2015,A,4,324,324,1170800.00,1085120.00,143329.00,941791.00,1163690.00,792648.00,276562.00,4569.00,-46823.00,0.00,0.00
"Manufacture of pulp, paper and paperboard, n.e.c.",15143,2015,B,6,71,66,74999.00,72230.00,5168.00,67062.00,81052.00,67181.00,13170.00,0.00,13559.00,0.00,0.00
Manufacture of pipe fittings of iron or steel,15228,2015,A,5,421,421,1773071.00,1694915.00,69603.00,1625312.00,1789657.00,1506925.00,179489.00,1846.00,12992.00,0.00,0.00
Operation of rolling mills,15226,2015,B,16,176,174,222721.00,220502.00,23605.00,196897.00,191768.00,163233.00,16822.00,0.00,1157.00,0.00,0.00
Aluminum and aluminum base alloy casting,15238,2015,B,8,116,116,21628.00,23342.00,12312.00,11030.00,20401.00,7653.00,11625.00,36.00,1416.00,0.00,0.00
"Manufacture of other plastic, industrial /office/school supplies",15199,2015,A,53,8209,8202,13888160.00,12705738.00,2043176.00,10662562.00,12921118.00,8215448.00,3884297.00,704048.00,-600468.00,0.00,0.00
Rice/corn milling,1532,2015,A,104,4622,4534,30850907.00,26149703.00,583132.00,25566571.00,29465157.00,21236620.00,6278339.00,326484.00,3755876.00,0.00,0.00
"Manufacture of industrial and other molded rubber products, excluding tires and tubes",15193,2015,B,39,527,527,413800.00,434124.00,65029.00,369094.00,385327.00,308533.00,54241.00,0.00,-6354.00,0.00,0.00
Manufacture of paints,15170,2015,B,26,367,358,670605.00,614867.00,53510.00,561356.00,670946.00,528815.00,125785.00,8894.00,-15470.00,0.00,0.00
Manufacture of signs and advertising displays,15403,2015,A,9,438,438,582812.00,549527.00,49271.00,500256.00,588113.00,466167.00,110926.00,1838.00,3255.00,0.00,0.00
Manu facture of plastic household wares,15196,2015,B,38,376,376,481575.00,442332.00,24970.00,417362.00,504596.00,411411.00,77188.00,0.00,46679.00,0.00,0.00
Production processing and preserving of meat and meat products,152,2015,A,82,16023,16007,77845228.00,73917430.00,3672600.00,70244831.00,78016221.00,59869009.00,9718763.00,1060263.00,-343099.00,0.00,0.00
"Cutting, shaping and finishing of stone",15219,2015,A,8,583,582,1885944.00,1676685.00,135656.00,1541029.00,1886126.00,1090060.00,435479.00,430.00,-43011.00,0.00,0.00
"Manufacture of structural metal products, n.e.c.",15244,2015,A,45,2965,2957,7174517.00,6862666.00,765754.00,6096911.00,6586207.00,5002820.00,1359404.00,195064.00,163126.00,3918.00,0.00
Manufacture of lime,15216,2015,A,6,294,294,1280942.00,1161508.00,37710.00,1123799.00,1276931.00,891797.00,300354.00,36333.00,-62858.00,0.00,0.00
Manufacture of flat glass (including float glass),15204,2015,A,10,995,995,4437963.00,4943598.00,490142.00,4453456.00,4209532.00,3185054.00,508052.00,419.00,-397858.00,0.00,0.00
Manufacture of consumer electronics,15269,2015,B,3,42,40,20623.00,20714.00,7558.00,13156.00,20971.00,8460.00,9010.00,16.00,2167.00,0.00,0.00
"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",15188,2015,B,37,400,400,255745.00,250683.00,55588.00,195095.00,258669.00,164548.00,73376.00,108.00,21203.00,0.00,0.00
Manufacture of rough lumber,15121,2015,B,68,1217,1155,798313.00,729258.00,275279.00,453979.00,697980.00,335245.00,352969.00,0.00,16259.00,0.00,0.00
Manufacture of rubber slippers,15117,2015,B,8,59,51,17411.00,8737.00,1933.00,6804.00,17166.00,6498.00,10648.00,0.00,-305.00,0.00,0.00
"Casting of non-ferrous metal, n.e.c.",15241,2015,B,6,71,71,160024.00,152874.00,6586.00,146289.00,158662.00,138070.00,16095.00,0.00,-3240.00,0.00,0.00
Manufacture of electric ignition or starting equipment for internal combustion engines,15353,2015,B,4,61,61,49276.00,49590.00,7407.00,42182.00,49080.00,35452.00,9039.00,0.00,-1197.00,0.00,0.00
Manufacture of parts and accessories for motor vehicles and their engines,15354,2015,A,80,31253,31248,99201871.00,92354346.00,9282606.00,83071740.00,97939795.00,69663883.00,22258728.00,5544955.00,-848929.00,282905.00,0.00
Manufacture of ethyl alcohol,15161,2015,A,4,363,363,3950143.00,3441900.00,156438.00,3285462.00,3981547.00,2632139.00,1075068.00,105636.00,194543.00,0.00,0.00
Manufacture of nata de coco,1520,2015,A,8,549,546,870883.00,796586.00,61771.00,734815.00,865221.00,695430.00,143811.00,0.00,-19468.00,0.00,0.00
"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",15395,2015,A,26,2936,2921,1692827.00,1529040.00,686910.00,842129.00,1656324.00,633990.00,936043.00,4525.00,-7476.00,0.00,0.00
Curing and redrying tobacco leaves,1577,2015,A,3,1704,1704,3372550.00,3355246.00,281042.00,3074204.00,3832542.00,2729255.00,429665.00,83264.00,290400.00,0.00,0.00
"Manufacture of miscellaneous chemical products, n.e.c.",15185,2015,B,29,218,218,5048439.00,4776577.00,96324.00,4680254.00,5044706.00,4509220.00,438869.00,9324.00,-118834.00,0.00,0.00
"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1569,2015,B,4,24,24,102449.00,95724.00,12643.00,83081.00,99760.00,57731.00,24556.00,4216.00,-1141.00,0.00,0.00
Manufacture of prepared animal feeds,1564,2015,A,120,8883,8834,79816668.00,77524251.00,2665076.00,74859176.00,78317229.00,66232085.00,7893900.00,2566789.00,-1673480.00,0.00,0.00
"Manufacture of wooden window and door screens, shades and venetian blinds",15127,2015,A,4,370,370,714702.00,675309.00,88809.00,586500.00,719895.00,494354.00,160676.00,6108.00,16654.00,0.00,0.00
"Sawmilling and planing of wood products, n.e.c.",15124,2015,A,3,68,63,76020.00,79449.00,6704.00,72745.00,149411.00,123621.00,16467.00,0.00,14447.00,0.00,0.00
"Manufacture of identification plates, badges, emblems and tags",15402,2015,A,3,387,387,340223.00,272326.00,84284.00,188042.00,326447.00,129511.00,177482.00,27062.00,-909.00,0.00,0.00
Building of ships and boats other than sports and pleasure boats,15355,2015,A,29,19889,19839,83002820.00,76955427.00,4200490.00,72754937.00,81755793.00,63934724.00,15721476.00,586586.00,-1677681.00,356989.00,0.00
Manufacture of fluid power equipment,15309,2015,A,5,2073,2073,13753529.00,12751658.00,1095168.00,11656489.00,13700952.00,10333162.00,2775022.00,546142.00,171015.00,554816.00,0.00
Manufacture of fertilizers and nitrogen compounds,15166,2015,A,9,1352,1352,17286460.00,17103160.00,622563.00,16480597.00,17170398.00,13140455.00,2618903.00,130430.00,108794.00,0.00,0.00
"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",15200,2015,B,4,62,62,59280.00,64718.00,6265.00,58453.00,68329.00,49157.00,13673.00,21889.00,1034.00,0.00,0.00
"Non-ferrous smelting and refining , except precious metals",15232,2015,A,7,1890,1890,65604127.00,66806768.00,1201333.00,65605435.00,63393069.00,53470186.00,6132356.00,8326016.00,8309347.00,0.00,0.00
"Manufacture of ice, except dry ice",1557,2015,A,58,2537,2520,3737079.00,3270275.00,403003.00,2867272.00,3663742.00,2379513.00,1161310.00,164425.00,18781.00,0.00,0.00
"Manufacture of sugar, n.e.c.",1547,2015,A,4,701,701,7456090.00,6857999.00,317356.00,6540643.00,6932138.00,5696589.00,1115032.00,0.00,-272449.00,0.00,0.00
"Manufacture of aluminum window and door screens, shades and venetian blinds",15263,2015,A,12,1377,1376,1759321.00,1668499.00,312971.00,1355528.00,1758351.00,1146489.00,438591.00,6640.00,304743.00,0.00,0.00
Manufacture of asphalt products,15220,2015,A,8,751,748,2070320.00,1687378.00,192049.00,1495328.00,1667872.00,1143018.00,678087.00,41723.00,16941.00,0.00,0.00
Custom dressmaking,15105,2015,B,211,2495,2307,301081.00,283369.00,114637.00,168732.00,296842.00,90290.00,150787.00,0.00,-6609.00,0.00,0.00
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,15144,2015,B,58,677,677,1136673.00,1077528.00,126414.00,951114.00,1128498.00,844524.00,243217.00,0.00,-2538.00,0.00,0.00
"Manufacture of herb from drying and further extraction ( e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",1556,2015,B,3,40,40,46774.00,46066.00,5684.00,40382.00,38645.00,22513.00,6994.00,0.00,1457.00,0.00,0.00
"Manufacture of aluminum window and door screens, shades and venetian blinds",15263,2015,B,34,456,446,308332.00,273804.00,36616.00,237188.00,308332.00,200576.00,84427.00,0.00,788.00,0.00,0.00
Manufacture of ethanol,15158,2015,A,3,621,621,3511100.00,3238227.00,153772.00,3084456.00,3355400.00,2583910.00,578025.00,104665.00,-13587.00,0.00,0.00
"Manufacture of narrow fabrics, laces, tulles and other net fabrics",1594,2015,A,14,770,769,476477.00,466503.00,109991.00,356512.00,473584.00,324848.00,137133.00,2985.00,1010.00,0.00,0.00
Manufacture of wooden coffin,15398,2015,A,7,263,263,227017.00,216279.00,42963.00,173316.00,225978.00,154080.00,64994.00,1904.00,2943.00,0.00,0.00
Manufacture of furniture and fixtures of metal,15372,2015,A,42,2344,2334,3046815.00,2666239.00,501771.00,2164468.00,2838836.00,1706429.00,857780.00,32478.00,41185.00,0.00,0.00
"Non-ferrous smelting and refining , except precious metals",15232,2015,B,3,31,31,15970.00,14164.00,5268.00,8897.00,15969.00,7167.00,7623.00,0.00,-4.00,0.00,0.00
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110,2015,B,29,448,448,306760.00,302316.00,48502.00,253814.00,309336.00,245050.00,55962.00,0.00,-3264.00,0.00,0.00
"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles",15389,2015,B,3,23,19,40875.00,40485.00,5243.00,35241.00,40875.00,28459.00,6671.00,0.00,121.00,0.00,0.00
Manufacture of electric lamps fluorescent and fixtures,15292,2015,B,7,76,61,15885.00,15728.00,3241.00,12487.00,10610.00,10168.00,5307.00,0.00,585.00,0.00,0.00
"Manufacture of plastic window and door screen, shades and venetian blinds",15202,2015,A,10,690,690,1354557.00,1284545.00,115066.00,1169479.00,1399639.00,1105325.00,222524.00,44484.00,9613.00,0.00,0.00
Manufacture of medical and precision instruments,15391,2015,A,15,4576,4571,1842316.00,1638153.00,437535.00,1200618.00,1843246.00,894278.00,752577.00,369673.00,56507.00,0.00,0.00
Manufacture of worked lumber,15122,2015,A,3,92,89,63036.00,58474.00,11076.00,47398.00,62560.00,36542.00,25050.00,0.00,9259.00,0.00,0.00
"Manufacture of brooms, brushes and fans",15401,2015,B,7,93,84,38425.00,35574.00,5164.00,30410.00,38601.00,29332.00,8023.00,32.00,3109.00,0.00,0.00
Manufacture of glues and adhesives,15183,2015,A,13,1292,1292,8357656.00,6582174.00,617555.00,5964619.00,8365992.00,4660741.00,2724486.00,78089.00,32468.00,0.00,0.00
Manufacture of hand-made paper,15142,2015,A,5,720,720,91113.00,89078.00,32582.00,56496.00,83016.00,30430.00,42103.00,0.00,-4503.00,0.00,0.00
Manufactur e of popcorn and poprice,1550,2015,A,3,828,822,471351.00,442000.00,119288.00,322712.00,470456.00,214738.00,169369.00,47679.00,-4636.00,0.00,0.00
"Manufacture of domestic appliances, n.e.c.",15301,2015,B,3,44,44,228916.00,222037.00,10339.00,211698.00,221664.00,179874.00,23804.00,0.00,-8607.00,0.00,0.00
"Manufacture of inorganic acids, alkalis and chlorine",15163,2015,A,3,126,126,154984.00,187915.00,20968.00,166947.00,152871.00,95083.00,47420.00,821.00,-2137.00,0.00,0.00
"Manufacture of cordage, rope, and twine",1590,2015,A,11,1763,1757,2280199.00,1984636.00,352365.00,1632270.00,2287567.00,1480635.00,715833.00,6126.00,46834.00,0.00,0.00
"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",15327,2015,B,12,169,169,352237.00,327406.00,27778.00,299628.00,377987.00,311274.00,61046.00,26.00,38512.00,0.00,0.00
Manufacture of imitation of jewelry and related articles,15377,2015,B,9,103,103,74783.00,66406.00,23247.00,43159.00,73099.00,35743.00,33639.00,46.00,140.00,26.00,0.00
Manufacture of glues and adhesives,15183,2015,B,9,114,114,367127.00,337850.00,71778.00,266072.00,348671.00,221752.00,117290.00,3391.00,-1507.00,0.00,0.00
Manufacture of domestic electric fans,15296,2015,A,5,441,441,818830.00,803053.00,96104.00,706949.00,830434.00,659239.00,137040.00,20629.00,1402.00,0.00,0.00
Canning/packing of fish and other marine products,153,2015,B,10,150,149,455193.00,422542.00,15182.00,407360.00,437196.00,318972.00,85801.00,2993.00,-26837.00,0.00,0.00
"Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",15242,2015,A,38,9726,9722,10561313.00,10213208.00,2255221.00,7957987.00,10616351.00,6177294.00,3215349.00,139611.00,166889.00,0.00,0.00
Manufacture of sporting balls,15382,2015,A,7,1263,1263,2550708.00,2457759.00,390662.00,2067097.00,2577567.00,1890597.00,584540.00,42096.00,-102497.00,0.00,0.00
"Manufacture of products of cordage, rope and twine products",1592,2015,B,4,72,66,4116.00,3832.00,945.00,2887.00,4381.00,2911.00,1431.00,2734.00,952.00,0.00,0.00
Spinning,1578,2015,B,13,112,112,51014.00,52106.00,9733.00,42373.00,48958.00,33575.00,11620.00,10776.00,-2720.00,0.00,0.00
"Electrotyping, stereotyping and photoengraving",15150,2015,B,5,38,37,28575.00,27387.00,3816.00,23571.00,28977.00,19836.00,7100.00,0.00,852.00,0.00,0.00
"Forging, pressing, stamping and roll-forming of metal products",15249,2015,B,55,642,622,1092214.00,980917.00,85405.00,895512.00,1080457.00,855598.00,209743.00,0.00,-11203.00,0.00,0.00
Manufacture of hand tools,15253,2015,A,12,506,506,618563.00,587058.00,125541.00,461517.00,627319.00,371647.00,213210.00,0.00,48550.00,0.00,0.00
"Manufacture of basic precious and other non-ferrous metals, n.e.c.",15235,2015,A,3,240,240,1902963.00,1403893.00,134258.00,1269636.00,1900541.00,1129936.00,645233.00,6360.00,101355.00,0.00,0.00
Manufacture of optical instruments and lenses,15279,2015,A,19,7847,7847,15120643.00,13397553.00,1738159.00,11659394.00,14950296.00,10118540.00,4189289.00,223576.00,-319708.00,0.00,0.00
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",1521,2015,A,11,903,903,3635698.00,3434672.00,102499.00,3332173.00,3756850.00,3168119.00,446775.00,9878.00,-166697.00,0.00,0.00
Manufacture of wood furniture,15367,2015,B,559,4261,3813,2080516.00,1859979.00,950526.00,909453.00,2066592.00,722045.00,1257388.00,190530.00,36662.00,0.00,0.00
"Forging, pressing, stamping and roll-forming of metal products",15249,2015,A,66,6867,6848,20028274.00,19302688.00,1958820.00,17343868.00,19848299.00,15139895.00,3514075.00,577700.00,219899.00,0.00,0.00
"Wine manufacturing, n.e.c.",1567,2015,B,10,121,116,687067.00,626174.00,28762.00,597412.00,665663.00,311882.00,163809.00,-962.00,-11387.00,0.00,0.00
Casting/foundry of steel,15237,2015,A,8,839,839,1715103.00,1527311.00,237530.00,1289781.00,1719997.00,1193653.00,473212.00,41363.00,18956.00,0.00,0.00
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,15144,2015,A,83,8187,8176,27915880.00,24394266.00,1521493.00,22872773.00,27524911.00,20682887.00,5844232.00,503359.00,159923.00,0.00,0.00
Manufacture of bills/coin counting and coin wrapping machinery,15318,2015,B,5,42,41,43458.00,43939.00,10145.00,33792.00,43600.00,26464.00,10826.00,-421.00,-2779.00,0.00,0.00
Manufacture of sports and energy drink,1572,2015,A,3,212,212,5721480.00,4468383.00,117985.00,4350397.00,5740859.00,2708609.00,1879554.00,500149.00,-13546.00,0.00,0.00
Manufacture of metal containers used for the packing or conveyance of goods,15257,2015,B,27,279,238,597727.00,588505.00,49248.00,539257.00,597078.00,502355.00,81064.00,7446.00,13585.00,0.00,0.00
Canning/packing and preserving of fruits and fruit juices,1511,2015,B,30,322,270,740578.00,710847.00,46973.00,663874.00,704370.00,531353.00,93997.00,7008.00,-30831.00,0.00,0.00
"Manufacture of derricks, lifting and handling equipment for construction and mining",15315,2015,A,5,304,304,352901.00,346009.00,132850.00,213160.00,329736.00,91603.00,158856.00,0.00,2386.00,0.00,0.00
"Manufacture of fiber batting, padding and upholstery filling including coir",1597,2015,A,10,471,471,613010.00,603089.00,52927.00,550161.00,588765.00,438548.00,87055.00,0.00,34128.00,28.00,0.00
"Manufacture of other furniture and fixtures, n.e.c.",15373,2015,A,9,890,889,2266446.00,2089278.00,305129.00,1784148.00,2148632.00,1465452.00,541056.00,10535.00,-6963.00,0.00,0.00
"Manufacture of machinery for pulp, paper and paperboard industries",15345,2015,B,4,20,20,174224.00,142773.00,6794.00,135978.00,165872.00,89846.00,32401.00,0.00,10996.00,0.00,0.00
Smoking of fish and other marine products,155,2015,B,20,258,206,265665.00,230440.00,19255.00,211185.00,271988.00,191536.00,69765.00,0.00,9999.00,0.00,0.00
"Manufacture of battery chargers, solid state",15302,2015,B,6,65,65,647949.00,595371.00,22969.00,572402.00,640065.00,553341.00,73128.00,0.00,148.00,0.00,0.00
"Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",15242,2015,B,40,415,415,207332.00,239668.00,82754.00,156914.00,215366.00,116674.00,76495.00,0.00,16280.00,418.00,0.00
Manufacture of refrigerating or freezing equipment for commercial purposes,15323,2015,A,5,403,403,3370781.00,3123760.00,243607.00,2880153.00,3280283.00,2400101.00,601064.00,5066.00,-148828.00,0.00,0.00
Manufacture of other articles of paper,15147,2015,A,43,4685,4681,12800809.00,11771125.00,980696.00,10790429.00,12848646.00,9975783.00,2419330.00,339662.00,163950.00,138973.00,0.00
Cassava flour milling,1533,2015,A,3,171,171,284435.00,298707.00,20068.00,278639.00,322087.00,280011.00,23192.00,13001.00,44884.00,0.00,0.00
Building of ships and boats other than sports and pleasure boats,15355,2015,B,17,238,232,64848.00,51802.00,26420.00,25382.00,64848.00,20885.00,42912.00,3210.00,363.00,0.00,0.00
Manufacture of chocolate and cocoa products including chocolate candies,1548,2015,B,6,46,27,16690.00,15842.00,3874.00,11969.00,18747.00,12196.00,5198.00,0.00,9124.00,0.00,0.00
Manufacture of small cane wares,15135,2015,A,22,911,885,899249.00,785238.00,153416.00,631822.00,885146.00,533962.00,294478.00,13415.00,-1266.00,0.00,0.00
Drying of fish and other marine products,154,2015,A,3,168,168,610647.00,595481.00,45967.00,549515.00,664895.00,518607.00,83451.00,165769.00,51454.00,0.00,0.00
Manufacture of plastic furniture,15371,2015,B,8,94,94,176196.00,170877.00,18266.00,152611.00,174456.00,140472.00,35001.00,8201.00,43848.00,0.00,0.00
Manufacture of prepared animal feeds,1564,2015,B,71,789,748,1131201.00,1083413.00,85565.00,997848.00,532951.00,375859.00,155977.00,0.00,-11626.00,0.00,0.00
Repair of machinery,15407,2015,B,230,2534,2405,947287.00,909881.00,166467.00,743414.00,935734.00,658514.00,249888.00,20161.00,-71089.00,0.00,0.00
Operation of blast furnaces and steel making furnaces,15225,2015,B,58,640,549,874444.00,796878.00,96719.00,700159.00,873364.00,608741.00,228015.00,1044.00,-2148.00,0.00,0.00
Manufacture of hand tools,15253,2015,B,21,287,287,213968.00,198602.00,55224.00,143378.00,201211.00,108034.00,80797.00,385.00,-18460.00,0.00,0.00
Women's and girls' and babies' garment manufacturing,15100,2015,B,183,1810,1714,245847.00,186248.00,70698.00,115551.00,212061.00,77135.00,142775.00,0.00,-27573.00,0.00,0.00
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1541,2015,A,37,14273,14268,61513938.00,51629008.00,4144836.00,47484172.00,61325057.00,39907109.00,15963643.00,177203.00,2395560.00,0.00,0.00
Manufacture of unit air-conditioners,15324,2015,B,7,76,76,1613589.00,1293730.00,159672.00,1134059.00,1112805.00,521502.00,505783.00,21996.00,-22397.00,0.00,0.00
"Manufacture of industrial and other molded rubber products, excluding tires and tubes",15193,2015,A,56,7615,7612,10095229.00,9300092.00,1559114.00,7740978.00,9860319.00,6199821.00,2956115.00,271054.00,139814.00,644.00,0.00
"Distilling, rectifying and blending of spirits",1565,2015,A,9,1310,1307,53785984.00,43793043.00,722025.00,43071018.00,52352823.00,29006375.00,19375155.00,388242.00,-642272.00,0.00,0.00
Manufacture of malt liquors and malt,1568,2015,A,9,4087,4087,84852907.00,54822539.00,2478106.00,52344433.00,83404593.00,16784680.00,62834935.00,2368768.00,96095.00,0.00,0.00
"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",1540,2015,A,417,35623,35345,52765323.00,48297035.00,6679356.00,41617679.00,50537328.00,32323529.00,11490203.00,363238.00,1360260.00,248650.00,0.00
Manufacture of canvas products,1586,2015,B,13,136,126,103042.00,133170.00,13354.00,119816.00,93548.00,102993.00,-11627.00,0.00,-31922.00,0.00,0.00
Manufacture of printing ink,15174,2015,A,16,997,997,2889638.00,2740776.00,244221.00,2496555.00,2740020.00,2089219.00,500492.00,22039.00,-147728.00,0.00,0.00
Manufacture of plastic synthetic resins,15167,2015,A,13,865,865,15825297.00,15147134.00,381422.00,14765712.00,14194690.00,12056144.00,1472216.00,124639.00,-1670225.00,0.00,0.00
"Service activities related to printing, n.e.c.",15152,2015,A,20,885,885,1292698.00,1191808.00,152644.00,1039164.00,1272116.00,928126.00,284345.00,6136.00,4703.00,0.00,0.00
"Manufacture of calculating machines, adding machines, cash registers, calculators",15317,2015,A,4,4167,4167,8930038.00,8585736.00,702276.00,7883459.00,8886395.00,7477683.00,1259182.00,71146.00,-1474.00,0.00,0.00
Manufacture of refined petroleum products,15156,2015,A,11,3046,3043,401329171.00,388688272.00,6094055.00,382594217.00,388664642.00,331480265.00,35168809.00,15244243.00,-27226000.00,0.00,0.00
"Manufature of products of leather and imitation leather, n.e.c.",15111,2015,B,6,40,40,59414.00,56450.00,7487.00,48962.00,59244.00,45676.00,11120.00,0.00,-2007.00,0.00,0.00
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",1529,2015,B,47,364,348,148728.00,126590.00,27797.00,98793.00,148861.00,68914.00,61164.00,0.00,-546.00,0.00,0.00
Finishing of textiles,1581,2015,B,34,274,252,78466.00,75588.00,5513.00,70075.00,78466.00,64102.00,9090.00,0.00,0.00,0.00,0.00
Manufacture of parts and accessories of motorcycles,15363,2015,A,5,552,550,687726.00,662256.00,83277.00,578979.00,687359.00,538751.00,132277.00,6087.00,-351.00,0.00,0.00
Manufacture of pipe fittings of iron or steel,15228,2015,B,8,76,76,47224.00,42684.00,7848.00,34836.00,47178.00,32865.00,13683.00,0.00,5485.00,0.00,0.00
Manufacture of knitted and crocheted apparel,15106,2015,A,7,1809,1808,511722.00,511725.00,267180.00,244544.00,517084.00,178139.00,278782.00,0.00,3764.00,0.00,0.00
