id,industry_desc,ind_code
299,"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or teamakers)",15299
300,Manufacture of domestic-type water filters and/or purifiers,15300
301,"Manufacture of domestic appliances, n.e.c.",15301
302,"Manufacture of battery chargers, solid state",15302
303,Manufacture of uninterruptible power supplies (ups),15303
304,"Manufacture of appliance cords, extension cords, and other electrical cord",15304
305,"Manufacture of other electrical equipment, n.e.c.",15305
306,Manufacture of internal combustion engines (gas and diesel),15306
307,Manufacture of engines and turbines for marine propulsion,15307
308,"Manufacture of parts of engines and turbines, except for aircraft, vehicle and cycle engines",15308
309,Manufacture of fluid power equipment,15309
310,"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",15310
311,"Manufacture of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",15311
312,"Manufacture of bearings, gears and driving elements",15312
313,"Manufacture of ovens, furnaces and furnace burners",15313
314,"Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",15314
315,"Manufacture of derricks, lifting and handling equipment for construction and mining",15315
316,"Manufacture of other lifting and handling equipment, n.e.c.",15316
317,"Manufacture of calculating machines, adding machines, cash registers, calculators",15317
318,Manufacture of bills/coin counting and coin wrapping machinery,15318
319,Manufacture of other of fice and accounting machineries,15319
320,"Manufacture of other office machinery and equipment (except computers and peripheral equipment), n.e.c.",15320
321,Manufacture of power-driven hand tools,15321
322,Manufacture of weighing machines except scientific weighing apparatus used for laboratories,15322
323,Manufacture of refrigerating or freezing equipment for commercial purposes,15323
324,Manufacture of unit air-conditioners,15324
325,Manufacture of packing and wrapping machinery,15325
326,Manufacture of machinery for cleaning or drying bottles or other containers or for aerating beverages,15326
327,"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",15327
328,"Manufacture of gas or electric welding, brazing or soldering machines",15328
329,"Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",15329
330,Manufacture of farm tractors,15330
331,Manufacture of mechanical implements for crop production,15331
332,"Manufacture of agricultural and forestry machinery and equipment, n.e.c.",15332
333,Manufacture of machine tools for working metal,15333
334,Manufacture of machine tools and accessories including precision measuring tools,15334
335,Parts and accessories for the machine tools classified in this group,15335
336,"Manufacture of metal-forming machinery and machine tools, n.e.c.",15336
337,Manufacture of machinery for metallurgy,15337
338,Manufacture of heavy machinery and equipment used for mining and quarrying,15338
339,Manufacture of heavy machinery and equipment used for construction,15339
340,Manufacture of machinery for food processing,15340
341,"Manufacture of presses, crushers and similar machinery used to make wine, cider, fruit juices or similar beverages",15341
342,Manufacture of textile machinery,15342
343,"Manufacture of washing, laundry, dry-cleaning and pressing machines",15343
344,"Manufacture of needles for knitting, sewing machines",15344
345,"Manufacture of machinery for pulp, paper and paperboard industries",15345
346,Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials,15346
347,Manufacture of printing-trade machinery and equipment,15347
348,"Manufacture of machinery for producing tiles, bricks, shaped ceramic",15348
349,"Manufacture of other special-purpose machinery, n.e.c.",15349
350,Manufacture of motor vehicles,15350
351,Manufacture of bodies (coachwork) for motor vehicles,15351
352,Manufacture of trailers and semi-trailers,15352
353,Manufacture of electric ignition or starting equipment for internal combustion engines,15353
354,Manufacture of parts and accessories for motor vehicles and their engines,15354
355,Building of ships and boats other than sports and pleasure boats,15355
356,Manufacture of metal sections for ships and barges,15356
357,"Manufacture of other pleasure and sporting boats, n.e.c.",15357
358,Manufacture of air and spacecraft and related machinery,15358
